tarehe_ya_data,month,season,begin_time,end_time,hours,lon,lat,region,district,kijiji,mwalo_bandari_diko,sehemu_aliyovua_locality,idadi_ya_wavuvi_chomboni,aina_ya_mtego,aina_ya_samaki,Groups,local_name,uzito,idadi,cpue,cpue.check
02/01/2020,1,NE,2020-01-02T21:00:00Z,2020-01-02T23:29:00Z,2.48,39.01571,-5.51463,Unguja,Kaskazini A,Mkokotoni,Nungwi,Mkuru q,16,GN,Mackerel(scomber),Mackerel,NA,200,10,80.53691276,80.64516129
03/01/2020,1,NE,2020-01-03T09:40:00Z,2020-01-03T13:10:00Z,3.5,39.17992,-4.7809,Tanga,Mkinga,Zingibari,Petukiza,Mwezi,19,RN,Sphyraena putnamiae,Dermesal,NA,NA,NA,0,NA
03/01/2020,1,NE,2020-01-03T19:00:00Z,2020-01-04T05:00:00Z,10,39.23,-5.083,Tanga,Muheza,Kigombe,Kigombe,Majivike,20,RN,Sardine,Sardines,NA,400,20,40,40
03/01/2020,1,NE,2020-01-03T19:00:00Z,2020-01-04T05:55:00Z,10.92,39.24,-5.22,Tanga,Muheza,Kigombe,Kigombe,Funguni,18,RN,Sardine,Sardines,NA,400,20,36.64122136,36.63003663
03/01/2020,1,NE,2020-01-03T19:15:00Z,2020-01-04T05:00:00Z,9.75,39.08572,-5.04011,Tanga,Tanga City,Sahare,Kasera,Mbolea,12,RN,Atule mate,Mackerel,NA,40,2,4.102564103,4.102564103
03/01/2020,1,NE,2020-01-03T19:53:00Z,2020-01-04T05:52:00Z,9.98,39.22581,-4.72808,Tanga,Mkinga,Zingibari,Petukiza,Sihi,21,RN,Sardine,Sardines,NA,200,10,20.03338898,20.04008016
03/01/2020,1,NE,2020-01-03T20:03:00Z,2020-01-04T05:03:00Z,9,39.29006,-4.81365,Tanga,Mkinga,Zingibari,Petukiza,Chundo,22,RN,Dussumieria acuta,Anchovy,NA,20,1,2.222222222,2.222222222
03/01/2020,1,NE,2020-01-03T20:03:00Z,2020-01-04T06:30:00Z,10.45,39.29006,-4.81365,Tanga,Mkinga,Zingibari,Petukiza,Chundo,22,RN,Dussumieria acuta,Anchovy,NA,20,1,1.913875598,1.913875598
03/01/2020,1,NE,2020-01-03T20:03:00Z,2020-01-04T05:03:00Z,9,39.29006,-4.81365,Tanga,Mkinga,Zingibari,Petukiza,Chundo,22,RN,Dussumieria acuta,Anchovy,NA,20,1,2.222222222,2.222222222
03/01/2020,1,NE,2020-01-03T20:15:00Z,2020-01-04T05:07:00Z,8.87,39.31232,-4.77206,Tanga,Mkinga,Zingibari,Petukiza,Chundo,40,RN,Stolephorus commersonii,Anchovy,NA,300,3,33.83458646,33.82187148
03/01/2020,1,NE,2020-01-03T21:00:00Z,2020-01-04T05:15:00Z,8.25,39.35066,-6.7896,Dar es Salaam,Kigamboni,Minazi  Mikinda,Minazi Mikinda,Katumbi,25,RN,Sardine,Sardines,NA,400,20,48.48484848,48.48484848
04/01/2020,1,NE,2020-01-04T21:40:00Z,2020-01-05T04:55:00Z,7.25,39.24027,-6.30317,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Pungume,23,RN,Sardine,Sardines,NA,600,30,82.75862069,82.75862069
