...1,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1-Jan,27.83,29.78,29.06,28.25,28.65,28.33,NA,28.39,26.78,28.3,28.22,28.27,28.81,29.74,28.78,28.95,29.27,28.57,28.91,28.94,29.22,28.59
2-Jan,27.89,29.67,29.18,28.26,28.53,28.36,NA,28.46,26.72,28.3,28.24,28.31,28.91,29.63,28.94,28.89,29.28,28.5,28.83,28.89,29.35,28.77
3-Jan,27.93,29.5,29.06,28.41,28.5,28.35,NA,28.5,26.7,28.2,28.3,28.26,28.81,29.17,28.95,28.91,29.34,28.29,28.63,28.93,29.42,28.81
4-Jan,28.03,29.24,28.98,28.64,28.52,28.39,NA,28.75,26.71,28.2,28.32,28.32,28.75,29.2,28.59,28.95,29.43,28.41,28.52,28.89,29.53,28.49
5-Jan,28.06,28.83,28.98,28.8,28.65,28.59,NA,28.74,26.78,27.8,28.22,28.33,28.65,29.21,28.53,29.15,29.38,28.61,28.4,28.94,29.74,28.14
6-Jan,28.09,28.73,29.04,28.81,28.6,28.61,NA,28.79,26.84,27.7,28.01,28.47,28.43,28.96,28.57,28.99,29.14,28.7,28.28,28.92,29.61,27.92
7-Jan,28.08,29.07,29.05,28.79,28.35,28.46,NA,28.66,26.98,28,28,28.36,28.41,28.98,28.31,28.59,28.99,28.72,28,29.01,29.6,28.04
8-Jan,28.24,28.95,28.96,28.8,28.4,28.01,NA,28.4,26.91,28.3,28.07,28.41,28.48,28.94,28.44,28.59,29.2,28.58,27.9,28.97,29.13,28.16
9-Jan,28.23,29.01,29.02,28.88,28.33,28.43,NA,28.12,26.83,28.6,28.05,28.24,28.45,28.81,28.7,28.42,29.09,28.5,27.8,28.93,29.18,28.23
10-Jan,28.21,29.09,28.76,28.89,28.26,28.36,NA,28.28,26.81,28.7,27.87,28.14,28.39,28.76,28.96,28.35,28.68,28.43,27.7,28.85,29.3,28.38
11-Jan,28.26,28.89,28.84,28.8,28.27,28.15,NA,28.3,26.92,28.9,27.87,28.19,28.41,28.75,28.95,28.36,28.06,28.59,27.67,28.78,29.13,28.17
12-Jan,28.18,28.94,28.57,28.66,28.12,28.07,NA,28.81,26.97,28.8,29.28,28.23,28.3,28.63,29.05,28.42,27.88,28.63,27.89,28.79,29.13,28.12
