fishing_date,year,month,month_label,flag_state,call_sign,lon,lat,category_name,gear,fishing_effort,number,weight,cpue,sst,chl,productivity,u_oscar,v_oscar,x_wind,xywind,sla,sla_cm
2/21/2010,2010,2,Feb,Spain,E.C.N.P,42.06,-6.95,Skip Jack Tuna,PS,3,500,29000,9666.666667,29.622,NA,237.2687531,0.052035186,-0.026496915,-5.09484005,-4.114840031,NA,NA
2/21/2010,2010,2,Feb,Spain,E.C.N.P,42.06,-6.95,Yellow Fin Tuna,PS,3,459,16000,5333.333333,29.622,NA,237.2687531,0.052035186,-0.026496915,-5.09484005,-4.114840031,NA,NA
3/3/2010,2010,3,Mar,BERMEO,EAXE,40.83,-7.08,Skip Jack Tuna,PS,4,741,60000,15000,30.604,0.084076002,189.0183411,0.097522102,0.21743219,-4.662145138,-1.871169984,NA,NA
3/3/2010,2010,3,Mar,BERMEO,EAXE,40.83,-7.08,Yellow Fin Tuna,PS,4,387,20000,5000,30.604,0.084076002,189.0183411,0.097522102,0.21743219,-4.662145138,-1.871169984,NA,NA
3/3/2010,2010,3,Mar,BERMEO,EAXE,40.783,-7.916,Skip Jack Tuna,PS,4,660,10000,2500,30.845,0.092624001,240.0036469,-0.057142762,0.351320989,-3.605545044,-3.888244987,NA,NA
3/7/2010,2010,3,Mar,Seychelles,S.7.S.Z,40.7,-7.1,Skip Jack Tuna,PS,0,350,21000,Inf,30.848,NA,196.6097946,0.051409179,0.389666423,-4.90942502,3.010144949,NA,NA
3/7/2010,2010,3,Mar,Seychelles,S.7.S.Z,40.7,-7.1,Yellow Fin Tuna,PS,0,413,40000,Inf,30.848,NA,196.6097946,0.051409179,0.389666423,-4.90942502,3.010144949,NA,NA
3/7/2010,2010,3,Mar,Seychelles,S.7.S.Z,40.7,-7.1,Big Eye Tuna,PS,0,178,10000,Inf,30.848,NA,196.6097946,0.051409179,0.389666423,-4.90942502,3.010144949,NA,NA
3/8/2010,2010,3,Mar,Spain,E.A.X.E,40.7,-7.116,Skip Jack Tuna,PS,24,666,10000,416.6666667,30.685,NA,200.9223557,0.051409179,0.389666423,NA,NA,NA,NA
3/9/2010,2010,3,Mar,Spain,E.B.V.R,40.7,-7.133,Skip Jack Tuna,PS,24,11666,175000,7291.666667,30.69,0.0723955,200.9223557,0.051409179,0.389666423,-4.230459929,-3.385125041,NA,NA
3/9/2010,2010,3,Mar,Spain,E.B.V.R,40.7,-7.133,Yellow Fin Tuna,PS,24,701,120000,5000,30.69,0.0723955,200.9223557,0.051409179,0.389666423,-4.230459929,-3.385125041,NA,NA
3/9/2010,2010,3,Mar,Spain,E.B.V.R,40.7,-7.133,Big Eye Tuna,PS,24,514,50000,2083.333333,30.69,0.0723955,200.9223557,0.051409179,0.389666423,-4.230459929,-3.385125041,NA,NA
3/11/2010,2010,3,Mar,BERMEO,EAXE,41.333,-5.333,Yellow Fin Tuna,PS,4,833,15000,3750,30.471,NA,239.0224991,0.039833471,-0.138891593,NA,NA,NA,NA
3/11/2010,2010,3,Mar,BERMEO,EAXE,41.333,-5.333,Skip Jack Tuna,PS,4,0,0,0,30.471,NA,239.0224991,0.039833471,-0.138891593,NA,NA,NA,NA
3/12/2010,2010,3,Mar,Spain,E.C.N.P,41.333,-7.233,Skip Jack Tuna,PS,3,875,14000,4666.666667,30.075,NA,213.0882874,0.051444482,-0.009210637,-2.618440032,-6.79104495,NA,NA
3/12/2010,2010,3,Mar,Spain,E.C.N.P,41.333,-7.233,Yellow Fin Tuna,PS,3,89,3000,1000,30.075,NA,213.0882874,0.051444482,-0.009210637,-2.618440032,-6.79104495,NA,NA
3/12/2010,2010,3,Mar,Spain,E.C.N.P,41.333,-7.233,Big Eye Tuna,PS,3,127,1000,333.3333333,30.075,NA,213.0882874,0.051444482,-0.009210637,-2.618440032,-6.79104495,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41.966,-7.216,Skip Jack Tuna,PS,24,11400,171000,7125,30.631,0.090721998,237.4945374,-0.10195487,-0.054166889,-3.518231869,0.865356624,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41.966,-7.216,Yellow Fin Tuna,PS,24,3888,70000,2916.666667,30.631,0.090721998,237.4945374,-0.10195487,-0.054166889,-3.518231869,0.865356624,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41.966,-7.216,Big Eye Tuna,PS,24,470,8000,333.3333333,30.631,0.090721998,237.4945374,-0.10195487,-0.054166889,-3.518231869,0.865356624,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41,-7.083,Yellow Fin Tuna,PS,24,11500,171000,7125,30.663,NA,193.5482712,-0.05886255,0.103425264,-2.73575139,2.164099932,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41,-7.083,Skip Jack Tuna,PS,24,4666,70000,2916.666667,30.663,NA,193.5482712,-0.05886255,0.103425264,-2.73575139,2.164099932,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41,-7.083,Big Eye Tuna,PS,24,642,9000,375,30.663,NA,193.5482712,-0.05886255,0.103425264,-2.73575139,2.164099932,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41.533,-5.516,Skip Jack Tuna,PS,24,1133,17000,708.3333333,30.586,0.087096002,228.0635605,0.102495968,-0.344503284,-3.457740545,1.862364411,NA,NA
3/27/2010,2010,3,Mar,Spain,EALM,41.533,-5.516,Yellow Fin Tuna,PS,24,3556,64000,2666.666667,30.586,0.087096002,228.0635605,0.102495968,-0.344503284,-3.457740545,1.862364411,NA,NA
7/18/2010,2010,7,Jul,Spain,E.C.E.Q,41.08,-5.6,Skip Jack Tuna,PS,1,10866,163000,163000,26.041,0.162113994,468.6757965,-0.238952748,0.200952731,-1.646964252,7.074296236,NA,NA
7/18/2010,2010,7,Jul,Spain,E.C.E.Q,41.08,-5.6,Yellow Fin Tuna,PS,1,3777,68000,68000,26.041,0.162113994,468.6757965,-0.238952748,0.200952731,-1.646964252,7.074296236,NA,NA
