date.d,date,level_mm
1984.2083,1984-03-17,7043
1984.2917,1984-04-16,7078
1984.3750,1984-05-17,7012
1984.4583,1984-06-16,7027
1984.5417,1984-07-17,6979
1984.6250,1984-08-16,6995
1984.7083,1984-09-16,6994
1984.7917,1984-10-16,7002
1984.8750,1984-11-16,7007
1984.9583,1984-12-16,6989
1985.0417,1985-01-16,6990
1985.1250,1985-02-15,7010
1985.2083,1985-03-18,6959
1985.2917,1985-04-17,7018
1985.3750,1985-05-17,7033
1985.4583,1985-06-17,6975
1985.5417,1985-07-17,6990
1985.6250,1985-08-17,6969
1985.7083,1985-09-16,6996
1985.7917,1985-10-16,6987
1985.8750,1985-11-16,7039
1985.9583,1985-12-16,6982
1986.0417,1986-01-16,6981
1986.1250,1986-02-15,6970
1986.2083,1986-03-18,7026
1986.2917,1986-04-17,7024
1986.3750,1986-05-17,7018
1986.4583,1986-06-17,7021
1986.5417,1986-07-17,6959
1986.6250,1986-08-17,6951
1986.7083,1986-09-16,6970
1986.7917,1986-10-16,6964
1986.8750,1986-11-16,6958
1986.9583,1986-12-16,6930
1987.0417,1987-01-16,6912
1987.1250,1987-02-15,6969
1987.2083,1987-03-18,7018
1987.2917,1987-04-17,7056
1987.3750,1987-05-17,7055
1987.4583,1987-06-17,7010
1987.5417,1987-07-17,6977
1987.6250,1987-08-17,6967
1987.7083,1987-09-16,6952
1987.7917,1987-10-16,7026
1987.8750,1987-11-16,7024
1987.9583,1987-12-16,7018
1988.0417,1988-01-16,7027
1988.1250,1988-02-15,7026
1988.2083,1988-03-17,7032
1988.2917,1988-04-16,7044
1988.3750,1988-05-17,7068
1988.4583,1988-06-16,7015
1988.5417,1988-07-17,7032
1988.6250,1988-08-16,7036
1988.7083,1988-09-16,7012
1988.7917,1988-10-16,6975
1988.8750,1988-11-16,6978
1988.9583,1988-12-16,6950
1989.0417,1989-01-16,6946
1989.1250,1989-02-15,6913
1989.2083,1989-03-18,6967
1989.2917,1989-04-17,6989
1989.3750,1989-05-17,6977
1989.4583,1989-06-17,6935
1989.5417,1989-07-17,6911
1989.6250,1989-08-17,6918
1989.7083,1989-09-16,6962
1989.7917,1989-10-16,6995
1989.8750,1989-11-16,6974
1989.9583,1989-12-16,6976
1990.0417,1990-01-16,6964
1990.1250,1990-02-15,6997
1990.2083,1990-03-18,6971
1990.2917,1990-04-17,7028
1990.3750,1990-05-17,7010
1990.4583,1990-06-17,6951
1990.5417,1990-07-17,6965
1990.6250,1990-08-17,6987
1990.7083,1990-09-16,7014
1990.7917,1990-10-16,7051
1990.8750,1990-11-16,7056
1990.9583,1990-12-16,7047
1991.0417,1991-01-16,7034
1991.1250,1991-02-15,6962
1991.2083,1991-03-18,7104
1991.2917,1991-04-17,7095
1991.3750,1991-05-17,7070
1991.4583,1991-06-17,7027
1991.5417,1991-07-17,6999
1991.6250,1991-08-17,6982
1991.7083,1991-09-16,6970
1991.7917,1991-10-16,6995
1991.8750,1991-11-16,6960
1991.9583,1991-12-16,6990
1992.0417,1992-01-16,6917
1992.1250,1992-02-15,6969
1992.2083,1992-03-17,6987
1992.2917,1992-04-16,6988
1992.3750,1992-05-17,6974
1992.4583,1992-06-16,6978
1992.5417,1992-07-17,6957
1992.6250,1992-08-16,6946
1992.7083,1992-09-16,6910
1992.7917,1992-10-16,6940
1992.8750,1992-11-16,6941
1992.9583,1992-12-16,6943
1993.0417,1993-01-16,6989
1993.1250,1993-02-15,6970
1993.2083,1993-03-18,6977
1993.2917,1993-04-17,7018
1993.3750,1993-05-17,7024
1993.4583,1993-06-17,6984
1993.5417,1993-07-17,6951
1993.6250,1993-08-17,6944
1993.7083,1993-09-16,6937
1993.7917,1993-10-16,6948
1993.8750,1993-11-16,6947
1993.9583,1993-12-16,6963
1994.0417,1994-01-16,6985
1994.1250,1994-02-15,6962
1994.2083,1994-03-18,6970
1994.2917,1994-04-17,6944
1994.3750,1994-05-17,6956
1994.4583,1994-06-17,6976
1994.5417,1994-07-17,6950
1994.6250,1994-08-17,6930
1994.7083,1994-09-16,6922
1994.7917,1994-10-16,6966
1994.8750,1994-11-16,6988
1994.9583,1994-12-16,7012
1995.0417,1995-01-16,7001
1995.1250,1995-02-15,6982
1995.2083,1995-03-18,7044
1995.2917,1995-04-17,7003
1995.3750,1995-05-17,6986
1995.4583,1995-06-17,7000
1995.5417,1995-07-17,6972
1995.6250,1995-08-17,6953
1995.7083,1995-09-16,6982
1995.7917,1995-10-16,6965
1995.8750,1995-11-16,6977
1995.9583,1995-12-16,6960
1996.0417,1996-01-16,6989
1996.1250,1996-02-15,6999
1996.2083,1996-03-17,7004
1996.2917,1996-04-16,6999
1996.3750,1996-05-17,6996
1996.4583,1996-06-16,6988
1996.5417,1996-07-17,6927
1996.6250,1996-08-16,6889
1996.7083,1996-09-16,6919
1996.7917,1996-10-16,6932
1996.8750,1996-11-16,6918
1996.9583,1996-12-16,6929
1997.0417,1997-01-16,6926
